"","position","full_name","first_name","last_name","inch_height","weight","games","receptions","targets","receiving_yards","receiving_tds","receiving_air_yards","receiving_yards_after_catch","carries","rec_gm","ay_per_targ"
"361","WR","Andre Holmes","Andre","Holmes",76,"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","WR","Mario Alford","Mario","Alford",69,"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","WR","John Diarse","John","Diarse",71,"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","WR","Taylor Gabriel","Taylor","Gabriel",67,"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","WR","Kaelin Clay","Kaelin","Clay",70,"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","WR","Corey Brown","Corey","Brown",71,"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","WR","Marcus Lucas","Marcus","Lucas",76,"250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","WR","Steven Dunbar","Steven","Dunbar",75,"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","WR","T.J. Jones","T.J.","Jones",72,"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","WR","Anquan Boldin","Anquan","Boldin",73,"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","WR","Mose Frazier","Mose","Frazier",71,"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","WR","Jamaal Jones","Jamaal","Jones",72,"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","WR","Damoun Patterson","Damoun","Patterson",74,"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","WR","T.J. Rahming","T.J.","Rahming",70,"170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","WR","Bruce Ellington","Bruce","Ellington",69,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","WR","Michael Floyd","Michael","Floyd",75,"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","WR","Freddie Martino","Freddie","Martino",72,"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","WR","Deontez Alexander","Deontez","Alexander",74,"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","WR","Dorial Green-Beckham","Dorial","Green-Beckham",77,"237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","WR","Eric Decker","Eric","Decker",75,"214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","WR","Matt Hazel","Matt","Hazel",73,"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","WR","Fred Trevillion","Fred","Trevillion",73,"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","WR","Damon Sheehy-Guiseppi","Damon","Sheehy-Guiseppi",71,"181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","WR","Rashad Ross","Rashad","Ross",72,"181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
